iter	RMSE
0	0.1691106934
1	0.1527588212
2	0.1376746444
3	0.124242637
4	0.1121151823
5	0.1011584531
6	0.09116801691
7	0.0825042778
8	0.07441517478
9	0.06738775073
10	0.06082484017
11	0.05493502252
12	0.04957450165
13	0.0448028774
14	0.04037814903
15	0.03638635371
16	0.03296652553
17	0.02982383234
18	0.0269335947
19	0.02440062558
20	0.02202856128
21	0.01999192135
22	0.01806930412
23	0.01634254342
24	0.01477305576
25	0.01332039978
26	0.01201474933
27	0.01088295567
28	0.009822565695
29	0.0088652972
30	0.00801009335
31	0.007265227441
32	0.006635815391
33	0.006008203213
34	0.00544435814
35	0.004938798514
36	0.004536394315
37	0.004127883629
38	0.00376478253
39	0.003434144946
40	0.003160334475
41	0.002899742036
42	0.002683888615
43	0.002475880567
44	0.002290869623
45	0.002141082275
46	0.002001385631
47	0.001894172829
48	0.001774449262
49	0.001671223361
50	0.001584717974
51	0.001500615091
52	0.001444825822
53	0.001391931659
54	0.001337113231
55	0.001290677574
56	0.001249151431
57	0.00120833325
58	0.001174717651
59	0.001151976571
60	0.001126200514
61	0.001101416711
62	0.001084304738
63	0.001059457783
64	0.001032671369
65	0.001012671283
66	0.000991179394
67	0.0009755509303
68	0.0009574766232
69	0.0009414834713
70	0.0009285205904
71	0.0009149787836
72	0.0009024942587
73	0.0008899401352
74	0.0008776216853
75	0.0008666446343
76	0.0008586970384
77	0.0008495126534
78	0.0008386995709
79	0.0008246187137
80	0.0008146306569
81	0.0008047352358
82	0.0007962031611
83	0.0007888294586
84	0.0007815269473
85	0.0007735212962
86	0.0007669638397
87	0.0007631258808
88	0.0007549747803
89	0.0007501204081
90	0.0007450020817
91	0.0007403691785
92	0.0007342329506
93	0.0007278707487
94	0.0007243716072
95	0.0007176352648
96	0.0007118618593
97	0.0007074153163
98	0.0007021148272
99	0.0006983674955
100	0.0006942545941
101	0.0006894016836
102	0.0006862788866
103	0.0006805604738
104	0.0006765161185
105	0.0006708652626
106	0.0006653609745
107	0.0006594237282
108	0.0006561289792
109	0.0006521885503
110	0.000646888496
111	0.0006443359252
112	0.0006404379755
113	0.0006347329059
114	0.0006310845017
115	0.0006262567493
116	0.0006215500583
117	0.0006168533393
118	0.0006148814923
119	0.0006120359416
120	0.0006100892824
121	0.0006061950411
122	0.0005996734243
123	0.0005961669209
124	0.0005959228252
125	0.0005934631512
126	0.0005891550078
127	0.0005849662952
128	0.0005812629398
129	0.0005777564651
130	0.0005740518496
131	0.0005707788918
132	0.0005692758416
133	0.0005659899345
134	0.0005611736078
135	0.0005577499766
136	0.0005545490655
137	0.00055166013
138	0.0005494102385
139	0.0005447689377
140	0.0005416784861
141	0.0005381180712
142	0.0005369278115
143	0.000534372553
144	0.0005294376798
145	0.0005269472432
146	0.0005244922497
147	0.0005204333892
148	0.0005175314762
149	0.000514748696
150	0.0005142796588
151	0.0005121125072
152	0.0005100720509
153	0.000508962347
154	0.0005052592042
155	0.0005028313262
156	0.0005009511589
157	0.0004983246809
158	0.0004960864731
159	0.0004913343489
160	0.0004890535159
161	0.0004874171123
162	0.0004864530191
163	0.0004840034761
164	0.0004814524084
165	0.0004776623063
166	0.0004759192648
167	0.000472647698
168	0.0004705435603
169	0.0004673617728
170	0.0004646756233
171	0.0004622852126
172	0.0004607980427
173	0.000460171077
174	0.0004581768155
175	0.0004563264133
176	0.00045408328
177	0.0004524628806
178	0.000449834212
179	0.0004470302741
180	0.0004466447713
181	0.00044537029
182	0.0004452629659
